Marital Status,Application Mode,Application Order,Course Name,Daytime/Evening Attendance,Previous Qualification,Nationality,Mother's Qualification,Father's Qualification,Mother's Occupation,Father's Occupation,Displaced Student,Special Educational Needs,Is Debtor,Tuition Fees Up-to-Date,"Gender (1=Male, 0=Female)",Scholarship Holder,Age at Enrollment,International Student,Credited Units (1st Sem),Enrolled Units (1st Sem),Evaluated Units (1st Sem),Approved Units (1st Sem),Average Grade (1st Sem),Not Evaluated Units (1st Sem),Credited Units (2nd Sem),Enrolled Units (2nd Sem),Evaluated Units (2nd Sem),Approved Units (2nd Sem),Average Grade (2nd Sem),Not Evaluated Units (2nd Sem),Unemployment Rate (%),Inflation Rate (%),GDP per Capita (USD),Student Status
Single,1st phase—general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Education 3rd Cycle,Service/Sales/Security,Skilled Industry Workers,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Unskilled Workers,Yes,No,No,Yes,Female,Yes,18,No,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate
Single,1st phase—general contingent,2,Basic Education,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 1st Cycle,Administrative Staff,Unskilled Workers,Yes,No,No,Yes,Female,No,19,No,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
Single,Short cycle diploma holders,1,Tourism,Daytime,Professional higher technical course,Portuguese,Secondary Education,Secondary Education,Administrative Staff,Skilled Industry Workers,Yes,No,No,Yes,Female,Yes,21,No,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate
Single,1st phase—general contingent,1,Veterinary Nursing,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 1st Cycle,Service/Sales/Security,Service/Sales/Security,Yes,No,No,Yes,Female,Yes,18,No,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate
Single,1st phase—general contingent,1,Journalism and Communication,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 1st Cycle,Unskilled Workers,Technicians & Professionals,Yes,No,No,Yes,Female,No,20,No,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout
Single,3rd phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Service/Sales/Security,Machine Operators,Yes,No,No,Yes,Female,No,18,No,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled
Single,2nd phase—general contingent,2,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Secondary Education,Service/Sales/Security,Administrative Staff,Yes,No,No,Yes,Female,No,18,No,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
Single,1st phase—general contingent,1,Equiniculture,Daytime,Secondary education,Portuguese,Higher Education Degree,Basic Education 3rd Cycle,Technicians & Professionals,Service/Sales/Security,Yes,No,No,Yes,Female,No,20,No,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate
Single,1st phase—general contingent,1,Basic Education,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Skilled Industry Workers,Skilled Industry Workers,Yes,No,No,Yes,Female,No,18,No,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled
Single,1st phase—general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Unskilled Workers,Machine Operators,No,No,No,Yes,Female,Yes,21,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate
Single,3rd phase—general contingent,4,Oral Hygiene,Daytime,Secondary education,Portuguese,Secondary Education,Basic Edu 2nd Cycle,Administrative Staff,Skilled Industry Workers,Yes,No,No,Yes,Female,No,20,No,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled
Single,1st phase—general contingent,4,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Legislative/Executive Officers,Legislative/Executive Officers,Yes,No,No,Yes,Female,No,18,No,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate
Single,1st phase—general contingent,4,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Secondary Education,Basic Edu 2nd Cycle,Administrative Staff,Skilled Industry Workers,Yes,No,No,Yes,Female,Yes,19,No,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Graduate
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Technicians & Professionals,Skilled Industry Workers,No,No,No,Yes,Female,No,19,No,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Graduate
Single,1st phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Unskilled Workers,Yes,No,Yes,Yes,Female,Yes,18,No,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled
Single,2nd phase—general contingent,2,Social Service,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Skilled Industry Workers,Machine Operators,Yes,No,No,Yes,Female,No,21,No,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate
Single,1st phase—general contingent,1,Veterinary Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Technicians & Professionals,Technicians & Professionals,Yes,No,No,Yes,Female,No,18,No,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled
Single,1st phase—general contingent,1,Management,Daytime,Secondary education,Portuguese,General commerce course,Secondary Education,Unskilled Workers,Unskilled Workers,Yes,No,No,Yes,Female,No,20,No,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate
Single,2nd phase—general contingent,2,Nursing,Daytime,Secondary education,Portuguese,Higher Education Degree,Higher Education Degree,Legislative/Executive Officers,Armed Forces,Yes,No,No,Yes,Male,No,19,No,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled
Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,Portuguese,Master’s Degree,Doctorate,Administrative Staff,Scientific Specialists,No,No,No,Yes,Male,No,21,No,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled
Single,Change in institution/course,1,Communication Design,Daytime,Secondary education,Portuguese,Basic Edu 1st Cycle,Higher Education Degree,Other Armed Forces,Finance/Admin Specialists,Yes,No,No,Yes,Male,No,20,No,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate
Single,1st phase—general contingent,1,Management,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Administrative Staff,Farmers/Ag Workers,No,No,No,No,Male,No,18,No,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled
Single,3rd phase—general contingent,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,General commerce course,Secondary Education,Unskilled Workers,Service/Sales/Security,Yes,No,No,Yes,Female,No,19,No,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate
Single,1st phase—general contingent,1,Management (evening attendance),Evening,Secondary education,Portuguese,Bachelor’s Degree,Basic Edu 1st Cycle,Technicians & Professionals,Unskilled Workers,No,No,No,Yes,Male,No,34,No,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate
Single,Over 23 years old,1,Biofuel Production Technologies,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 1st Cycle,Unskilled Workers,Farmers/Ag Workers,No,No,Yes,No,Male,No,37,No,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout
Single,Over 23 years old,1,Informatics Engineering,Daytime,11th year—not completed,Portuguese,2nd cycle general high school,Basic Edu 1st Cycle,Student,Student,Yes,No,No,Yes,Male,No,43,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout
Single,Change in course,1,Management,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Farmers/Ag Workers,Farmers/Ag Workers,No,No,No,Yes,Female,No,55,No,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout
Divorced,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Unskilled Workers,Technicians & Professionals,Yes,No,No,Yes,Female,No,39,No,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate
Single,Technological specialization diploma holders,1,Equiniculture,Daytime,Technological specialization course,Spanish,Master’s Degree,Master’s Degree,Technicians & Professionals,Farmers/Ag Workers,No,No,Yes,No,Female,No,20,Yes,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout
Single,1st phase—general contingent,5,Journalism and Communication,Daytime,Secondary education,Portuguese,Higher Education Degree,Higher Education Degree,Scientific Specialists,Scientific Specialists,No,No,Yes,Yes,Female,No,18,No,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
Single,1st phase—general contingent,2,Management,Daytime,Secondary education,Portuguese,Higher Education Degree,Basic Education 3rd Cycle,Scientific Specialists,Skilled Industry Workers,Yes,No,No,Yes,Female,No,22,No,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate
Single,1st phase—general contingent,6,Nursing,Daytime,Secondary education,Portuguese,Secondary Education,Higher Education Degree,Scientific Specialists,Scientific Specialists,Yes,Yes,No,Yes,Female,No,22,No,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,Graduate
Single,2nd phase—general contingent,1,Journalism and Communication,Daytime,Secondary education,Portuguese,Secondary Education,Basic Edu 2nd Cycle,Service/Sales/Security,Service/Sales/Security,No,No,No,No,Female,No,20,No,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout
Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,No,29,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout
Single,2nd phase—general contingent,1,Management (evening attendance),Evening,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 2nd Cycle,Administrative Staff,Service/Sales/Security,No,No,No,Yes,Female,No,24,No,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled
Single,2nd phase—general contingent,2,Social Service,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Unskilled Workers,Unskilled Workers,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate
Single,2nd phase—general contingent,6,Nursing,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Education 3rd Cycle,Skilled Industry Workers,Skilled Industry Workers,Yes,No,No,Yes,Female,Yes,22,No,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,Graduate
Single,Technological specialization diploma holders,1,Social Service (evening attendance),Evening,Technological specialization course,Portuguese,Secondary Education,Basic Education 3rd Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,Yes,21,No,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Graduate
Single,1st phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,Yes,19,No,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate
Single,Over 23 years old,1,Tourism,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Skilled Industry Workers,No,No,No,Yes,Female,Yes,24,No,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 2nd Cycle,Farmers/Ag Workers,Farmers/Ag Workers,Yes,No,No,Yes,Female,Yes,19,No,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled
Single,1st phase—general contingent,1,Journalism and Communication,Daytime,Secondary education,Portuguese,Secondary Education,Basic Education 3rd Cycle,Skilled Industry Workers,Skilled Industry Workers,Yes,No,No,Yes,Female,Yes,20,No,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled
Single,1st phase—general contingent,3,Equiniculture,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Other Situation,Other Situation,No,No,No,Yes,Female,No,19,No,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate
Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 2nd Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,No,27,No,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,Secondary Education,Basic Education 3rd Cycle,Service/Sales/Security,Service/Sales/Security,Yes,No,No,Yes,Female,No,18,No,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate
Married,Holders of other higher courses,1,Tourism,Daytime,Higher education—degree,Portuguese,Secondary Education,Higher Education Degree,Administrative Staff,Technicians & Professionals,No,No,No,Yes,Female,No,39,No,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
Single,Over 23 years old,1,Equiniculture,Daytime,Higher education—degree (1st cycle),Portuguese,Higher Education Degree,Higher Education Degree,Scientific Specialists,Scientific Specialists,Yes,No,No,Yes,Female,No,27,No,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout
Single,2nd phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 2nd Cycle,Skilled Industry Workers,Armed Forces,Yes,No,No,Yes,Female,No,18,No,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate
Single,1st phase—general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 1st Cycle,Administrative Staff,Unskilled Workers,Yes,No,No,Yes,Female,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled
Single,1st phase—general contingent,2,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,No,18,No,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,Graduate
Single,Technological specialization diploma holders,1,Social Service,Daytime,Technological specialization course,Portuguese,General commerce course,Secondary Education,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,Yes,21,No,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate
Single,2nd phase—general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,Secondary Education,Basic Edu 1st Cycle,Administrative Staff,Skilled Industry Workers,Yes,No,No,Yes,Male,Yes,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled
Single,2nd phase—general contingent,1,Communication Design,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Technicians & Professionals,Administrative Staff,Yes,No,No,Yes,Male,No,19,No,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled
Single,Change in course,1,Communication Design,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Technicians & Professionals,Technicians & Professionals,No,No,No,Yes,Male,No,24,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled
Divorced,Transfer,1,Nursing,Daytime,Basic education 3rd cycle,Portuguese,Secondary Education,Secondary Education,Service/Sales/Security,Service/Sales/Security,Yes,No,No,Yes,Male,No,29,No,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout
Single,1st phase—general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Service/Sales/Security,Technicians & Professionals,Yes,No,No,Yes,Male,Yes,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate
Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,Portuguese,General commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,Yes,No,No,Yes,Male,No,23,No,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,Graduate
Single,1st phase—general contingent,3,Management,Daytime,Secondary education,Portuguese,Secondary Education,Basic Edu 2nd Cycle,Skilled Industry Workers,Skilled Industry Workers,No,No,Yes,Yes,Male,No,19,No,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout
Single,Over 23 years old,1,Tourism,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 1st Cycle,Skilled Industry Workers,Armed Forces,No,No,No,Yes,Male,No,26,No,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled
Single,2nd phase—general contingent,1,Management,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 1st Cycle,Service/Sales/Security,Service/Sales/Security,No,No,No,Yes,Male,No,18,No,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled
Single,2nd phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Education 3rd Cycle,Machine Operators,Administrative Staff,No,No,No,Yes,Male,No,24,No,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate
Single,1st phase—general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Service/Sales/Security,Armed Forces,Yes,No,No,Yes,Male,No,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
Single,2nd phase—general contingent,4,Tourism,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 1st Cycle,Service/Sales/Security,Skilled Industry Workers,Yes,No,No,Yes,Male,No,18,No,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout
Single,1st phase—general contingent,2,Journalism and Communication,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 2nd Cycle,Unskilled Workers,Unskilled Workers,Yes,No,No,Yes,Male,No,18,No,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,10.8,1.4,1.74,Graduate
Single,2nd phase—general contingent,3,Management,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Administrative Staff,Skilled Industry Workers,Yes,No,Yes,Yes,Male,No,18,No,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,Dropout
Single,3rd phase—general contingent,4,Tourism,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 1st Cycle,Skilled Industry Workers,Skilled Industry Workers,Yes,No,No,Yes,Male,Yes,21,No,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout
Single,2nd phase—general contingent,4,Journalism and Communication,Daytime,Secondary education,Portuguese,Secondary Education,Basic Education 3rd Cycle,Unskilled Workers,Machine Operators,Yes,No,Yes,Yes,Male,Yes,19,No,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate
Single,2nd phase—general contingent,4,Nursing,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Male,Yes,22,No,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,16.2,0.3,-0.92,Graduate
Married,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Farmers/Ag Workers,No,No,No,Yes,Male,No,33,No,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,Graduate
Single,1st phase—general contingent,6,Basic Education,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Unskilled Workers,Unskilled Workers,Yes,No,No,Yes,Male,No,20,No,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout
Single,Over 23 years old,1,Management (evening attendance),Evening,Higher education—bachelor’s degree,Portuguese,Higher Education Degree,Higher Education Degree,Scientific Specialists,Scientific Specialists,Yes,No,No,Yes,Male,No,35,No,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout
Single,Over 23 years old,1,Agronomy,Daytime,Higher education—master’s degree,Portuguese,Higher Education Degree,Higher Education Degree,Administrative Staff,Scientific Specialists,No,No,Yes,Yes,Male,No,24,No,6,12,17,6,12.166666666666666,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout
Single,2nd phase—general contingent,1,Tourism,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Administrative Staff,Administrative Staff,No,No,No,Yes,Male,No,18,No,0,5,6,5,12.0,0,0,5,8,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled
Married,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Farmers/Ag Workers,Yes,No,No,Yes,Female,No,33,No,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,Graduate
Single,Transfer,1,Nursing,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Skilled Industry Workers,Yes,No,No,Yes,Female,Yes,22,No,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduate
Single,Over 23 years old,1,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Secondary Education,Basic Education 3rd Cycle,Administrative Staff,Service/Sales/Security,No,No,No,Yes,Female,Yes,25,No,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate
Single,2nd phase—general contingent,1,Communication Design,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Administrative Staff,Student,Yes,No,No,Yes,Male,No,20,No,0,6,9,6,10.666666666666666,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Graduate
Single,1st phase—general contingent,6,Management,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,Yes,No,No,Yes,Male,No,23,No,0,5,6,4,14.0,0,0,5,5,5,13.8,0,11.1,0.6,2.02,Enrolled
